节点	端口	平均利用率
66	1	0.264712
67	1	0.205876
68	1	0.015091
69	1	0.023570
70	1	0.017459
71	1	0.235585
72	1	0.134164
73	1	0.181531
74	1	0.017319
75	1	0.019776
76	1	0.167559
77	1	0.093528
78	1	0.210073
79	1	0.085692
80	1	0.169227
81	1	0.037800
82	1	0.198315
83	1	0.180075
84	1	0.229094
85	1	0.013753
86	1	0.103880
87	1	0.230458
88	1	0.119445
89	1	0.142630
90	1	0.425105
91	1	0.064803
92	1	0.063016
93	1	0.177380
94	1	0.091894
95	1	0.017596
96	1	0.102524
97	1	0.043927
98	1	0.061065
99	1	0.057793
100	1	0.081150
101	1	0.138877
102	1	0.143691
103	1	0.178899
104	1	0.059131
105	1	0.367160
106	1	0.199584
107	1	0.106217
108	1	0.107993
109	1	0.125801
110	1	0.203652
111	1	0.036021
112	1	0.216570
113	1	0.083838
114	1	0.057092
115	1	0.279028
116	1	0.116569
117	1	0.181245
118	1	0.041286
119	1	0.194147
120	1	0.018819
121	1	0.028791
122	1	0.095991
123	1	0.082263
124	1	0.094084
125	1	0.199594
126	1	0.104125
127	1	0.021181
128	1	0.054906
129	1	0.127024
130	1	0.266640
131	1	0.082278
132	1	0.045757
133	1	0.018527
134	1	0.170469
135	1	0.018234
136	1	0.169623
137	1	0.018954
138	1	0.227084
139	1	0.336142
140	1	0.145894
141	1	0.151867
142	1	0.034541
143	1	0.030037
144	1	0.216682
145	1	0.319168
146	1	0.036916
147	1	0.222764
148	1	0.044886
149	1	0.221896
150	1	0.020954
151	1	0.108149
152	1	0.019596
153	1	0.014856
154	1	0.247463
155	1	0.022519
156	1	0.207749
157	1	0.062921
158	1	0.112130
159	1	0.010657
160	1	0.042273
161	1	0.276641
162	1	0.194374
163	1	0.061341
164	1	0.173092
165	1	0.118551
166	1	0.046482
167	1	0.111153
168	1	0.075390
169	1	0.163503
170	1	0.017893
171	1	0.094694
172	1	0.142459
173	1	0.060411
174	1	0.058540
175	1	0.228421
176	1	0.268203
177	1	0.159174
178	1	0.080805
179	1	0.061826
