节点	端口	平均利用率
114	1	0.059299
115	1	0.048131
116	1	0.044062
117	1	0.037179
118	1	0.043170
119	1	0.026781
120	1	0.055480
121	1	0.046148
122	1	0.052692
123	1	0.042392
124	1	0.077148
125	1	0.006199
126	1	0.016893
127	1	0.054650
128	1	0.025019
129	1	0.085820
130	1	0.006039
131	1	0.028871
132	1	0.024634
133	1	0.031518
134	1	0.006711
135	1	0.022808
136	1	0.006962
137	1	0.056960
138	1	0.007027
139	1	0.021900
140	1	0.045717
141	1	0.094486
142	1	0.023603
143	1	0.051113
