节点	端口	平均利用率
114	1	0.178237
115	1	0.144387
116	1	0.132114
117	1	0.111424
118	1	0.129781
119	1	0.080199
120	1	0.166982
121	1	0.139091
122	1	0.158606
123	1	0.127109
124	1	0.232030
125	1	0.018485
126	1	0.050247
127	1	0.164181
128	1	0.074643
129	1	0.258205
130	1	0.018026
131	1	0.086761
132	1	0.073906
133	1	0.094589
134	1	0.019994
135	1	0.068467
136	1	0.020703
137	1	0.171277
138	1	0.020912
139	1	0.065181
140	1	0.136779
141	1	0.284353
142	1	0.070743
143	1	0.153847
