节点	端口	平均利用率
114	1	0.367199
115	1	0.297838
116	1	0.272108
117	1	0.228148
118	1	0.266849
119	1	0.164479
120	1	0.342289
121	1	0.284492
122	1	0.326734
123	1	0.260999
124	1	0.477454
125	1	0.038249
126	1	0.104146
127	1	0.337848
128	1	0.155336
129	1	0.532236
130	1	0.035754
131	1	0.176794
132	1	0.152160
133	1	0.194743
134	1	0.041246
135	1	0.140134
136	1	0.041195
137	1	0.352252
138	1	0.041181
139	1	0.135816
140	1	0.282080
141	1	0.586331
142	1	0.145670
143	1	0.315049
