节点	端口	平均利用率
114	1	0.366305
115	1	0.296211
116	1	0.271378
117	1	0.227476
118	1	0.265987
119	1	0.163587
120	1	0.341443
121	1	0.283628
122	1	0.325957
123	1	0.260110
124	1	0.476238
125	1	0.036623
126	1	0.102950
127	1	0.337090
128	1	0.153090
129	1	0.530936
130	1	0.035654
131	1	0.176334
132	1	0.151441
133	1	0.194365
134	1	0.040003
135	1	0.139884
136	1	0.041029
137	1	0.351420
138	1	0.040891
139	1	0.134495
140	1	0.280696
141	1	0.583894
142	1	0.144569
143	1	0.314019
