节点	端口	平均利用率
66	1	0.500689
67	1	0.386590
68	1	0.027838
69	1	0.045526
70	1	0.032705
71	1	0.443739
72	1	0.252465
73	1	0.341856
74	1	0.031555
75	1	0.036168
76	1	0.315881
77	1	0.175904
78	1	0.396075
79	1	0.160420
80	1	0.317790
81	1	0.070431
82	1	0.373822
83	1	0.339146
84	1	0.430004
85	1	0.025121
86	1	0.195898
87	1	0.435566
88	1	0.221725
89	1	0.270145
90	1	0.799607
91	1	0.120140
92	1	0.119646
93	1	0.333647
94	1	0.173707
95	1	0.035237
96	1	0.192820
97	1	0.081189
98	1	0.116333
99	1	0.106874
100	1	0.154156
101	1	0.262308
102	1	0.273430
103	1	0.339882
104	1	0.110502
105	1	0.693933
106	1	0.377711
107	1	0.201451
108	1	0.202768
109	1	0.237867
110	1	0.383222
111	1	0.067811
112	1	0.411657
113	1	0.159410
114	1	0.107316
115	1	0.527532
116	1	0.219487
117	1	0.340023
118	1	0.075270
119	1	0.366139
120	1	0.036919
121	1	0.050944
122	1	0.181746
123	1	0.154608
124	1	0.177057
125	1	0.375645
126	1	0.198397
127	1	0.040313
128	1	0.103843
129	1	0.240604
130	1	0.504510
131	1	0.155746
132	1	0.085521
133	1	0.034591
134	1	0.323524
135	1	0.033938
136	1	0.321197
137	1	0.035145
138	1	0.427840
139	1	0.634372
140	1	0.275323
141	1	0.284533
142	1	0.060396
143	1	0.054470
144	1	0.408243
145	1	0.603771
146	1	0.067848
147	1	0.420698
148	1	0.083542
149	1	0.419130
150	1	0.038147
151	1	0.206011
152	1	0.035141
153	1	0.028263
154	1	0.469082
155	1	0.041674
156	1	0.390229
157	1	0.115397
158	1	0.212894
159	1	0.020837
160	1	0.078297
161	1	0.523583
162	1	0.368655
163	1	0.114686
164	1	0.326698
165	1	0.223808
166	1	0.087931
167	1	0.212009
168	1	0.139942
169	1	0.312029
170	1	0.031831
171	1	0.174668
172	1	0.270562
173	1	0.114461
174	1	0.110810
175	1	0.432614
176	1	0.507029
177	1	0.302271
178	1	0.152568
179	1	0.115615
