节点	端口	平均利用率
0	1	0.037614
0	2	0.063439
0	3	0.049779
0	4	0.084694
0	5	0.070899
0	6	0.045547
0	7	0.045297
0	8	0.085276
0	9	0.071365
1	1	0.042163
1	2	0.114681
1	3	0.068154
1	4	0.023747
1	5	0.095295
1	6	0.030926
1	7	0.018145
1	8	0.047232
1	9	0.033845
2	1	0.043554
2	2	0.116812
2	3	0.171628
2	4	0.038785
2	5	0.025214
2	6	0.023511
2	7	0.006846
2	8	0.035716
2	9	0.018264
3	1	0.051644
3	2	0.007966
3	3	0.013413
3	4	0.042512
3	5	0.020084
3	6	0.037735
3	7	0.044373
3	8	0.081272
3	9	0.020488
4	1	0.014413
4	2	0.140548
4	3	0.070635
4	4	0.158532
4	5	0.039220
4	6	0.038249
4	7	0.006120
4	8	0.014655
4	9	0.034894
5	1	0.073243
5	2	0.058055
5	3	0.016642
5	4	0.084910
5	5	0.047757
5	6	0.011372
5	7	0.036228
5	8	0.005643
5	9	0.073622
6	1	0.081602
6	2	0.131182
6	3	0.037651
6	4	0.064482
6	5	0.049611
6	6	0.003835
6	7	0.052194
6	8	0.067451
6	9	0.069361
7	1	0.033059
7	2	0.087613
7	3	0.059203
7	4	0.026535
7	5	0.063459
7	6	0.053098
7	7	0.039147
7	8	0.005190
7	9	0.043590
8	1	0.071354
8	2	0.038952
8	3	0.057563
8	4	0.008396
8	5	0.092183
8	6	0.027103
8	7	0.005243
8	8	0.089657
8	9	0.004126
9	1	0.088488
9	2	0.118942
9	3	0.047816
9	4	0.004773
9	5	0.047616
9	6	0.003697
9	7	0.006458
9	8	0.017004
9	9	0.030852
10	1	0.076416
10	2	0.060284
10	3	0.048569
10	4	0.005995
10	5	0.045371
10	6	0.066299
10	7	0.009720
10	8	0.016432
10	9	0.003456
11	1	0.126366
11	2	0.084520
11	3	0.051173
11	4	0.033993
11	5	0.049212
11	6	0.043130
11	7	0.007761
11	8	0.029628
11	9	0.007815
12	1	0.013850
12	2	0.058879
12	3	0.021986
12	4	0.050417
12	5	0.096922
12	6	0.004925
12	7	0.112607
12	8	0.023778
12	9	0.051734
13	1	0.099630
13	2	0.053679
13	3	0.042599
13	4	0.094651
13	5	0.057089
13	6	0.026129
13	7	0.004738
13	8	0.056999
13	9	0.064961
14	1	0.160756
14	2	0.094787
14	3	0.061824
14	4	0.060247
14	5	0.073645
14	6	0.003650
14	7	0.022955
14	8	0.004102
14	9	0.012971
15	1	0.095572
15	2	0.088446
15	3	0.098883
15	4	0.058332
15	5	0.046123
15	6	0.032503
15	7	0.060299
15	8	0.022879
15	9	0.021933
16	1	0.006291
16	2	0.083930
16	3	0.049020
16	4	0.029367
16	5	0.052331
16	6	0.011581
16	7	0.078601
16	8	0.055185
16	9	0.005428
17	1	0.083403
17	2	0.083329
17	3	0.073514
17	4	0.060045
17	5	0.062049
17	6	0.052757
17	7	0.033616
17	8	0.006079
17	9	0.020153
18	1	0.092526
18	2	0.074252
18	3	0.096850
18	4	0.027206
18	5	0.089480
18	6	0.036901
18	7	0.025729
18	8	0.072489
18	9	0.005881
19	1	0.057335
19	2	0.029147
19	3	0.027069
19	4	0.068155
19	5	0.046849
19	6	0.057345
19	7	0.014014
19	8	0.068940
19	9	0.012962
20	1	0.039033
20	2	0.101626
20	3	0.094514
20	4	0.067091
20	5	0.009901
20	6	0.022798
20	7	0.052464
20	8	0.038844
20	9	0.021339
21	1	0.091960
21	2	0.101188
21	3	0.039469
21	4	0.010125
21	5	0.045366
21	6	0.063331
21	7	0.028533
21	8	0.033939
21	9	0.027122
22	1	0.058104
22	2	0.088397
22	3	0.060067
22	4	0.079531
22	5	0.024723
22	6	0.007997
22	7	0.003137
22	8	0.045185
22	9	0.004647
23	1	0.023263
23	2	0.051160
23	3	0.032789
23	4	0.009734
23	5	0.038673
23	6	0.004652
23	7	0.050115
23	8	0.007634
23	9	0.022968
24	1	0.031117
24	2	0.033056
24	3	0.037411
24	4	0.008138
24	5	0.010727
24	6	0.025821
24	7	0.036971
24	8	0.020859
24	9	0.025687
25	1	0.124485
25	2	0.039200
25	3	0.029955
25	4	0.037857
25	5	0.052465
25	6	0.019366
25	7	0.141315
25	8	0.039940
25	9	0.025357
26	1	0.015063
26	2	0.136301
26	3	0.026998
26	4	0.113500
26	5	0.052023
26	6	0.033303
26	7	0.004447
26	8	0.019198
26	9	0.074087
27	1	0.061137
27	2	0.075184
27	3	0.022540
27	4	0.059857
27	5	0.073953
27	6	0.033868
27	7	0.038365
27	8	0.025144
27	9	0.059598
28	1	0.029144
28	2	0.056508
28	3	0.042073
28	4	0.061849
28	5	0.032244
28	6	0.025497
28	7	0.003779
28	8	0.051768
28	9	0.022254
29	1	0.073856
29	2	0.081882
29	3	0.023512
29	4	0.109254
29	5	0.136067
29	6	0.008922
29	7	0.031067
29	8	0.033222
29	9	0.025531
30	1	0.095832
30	2	0.107594
30	3	0.040980
30	4	0.011763
30	5	0.025397
30	6	0.007561
30	7	0.048387
30	8	0.055923
30	9	0.061451
31	1	0.100682
31	2	0.007315
31	3	0.043197
31	4	0.092167
31	5	0.036383
31	6	0.026230
31	7	0.063054
31	8	0.027579
31	9	0.033497
32	1	0.007827
32	2	0.080192
32	3	0.020641
32	4	0.060217
32	5	0.030503
32	6	0.028949
32	7	0.004219
32	8	0.016861
32	9	0.052384
33	1	0.048698
33	2	0.123961
33	3	0.012031
33	4	0.079316
33	5	0.060008
33	6	0.034913
33	7	0.056741
33	8	0.031604
33	9	0.036330
34	1	0.095353
34	2	0.046115
34	3	0.060267
34	4	0.046834
34	5	0.038523
34	6	0.051290
34	7	0.035662
34	8	0.049776
34	9	0.041458
35	1	0.066026
35	2	0.009600
35	3	0.042828
35	4	0.080723
35	5	0.026835
35	6	0.037379
35	7	0.032079
35	8	0.003697
35	9	0.004692
36	1	0.073625
37	1	0.004549
38	1	0.034212
39	1	0.027543
40	1	0.042878
41	1	0.011854
42	1	0.027959
43	1	0.005782
44	1	0.060248
45	1	0.046645
46	1	0.012514
47	1	0.016801
48	1	0.017953
49	1	0.016515
50	1	0.039947
51	1	0.016430
52	1	0.027924
53	1	0.037944
54	1	0.075376
55	1	0.083809
56	1	0.022772
57	1	0.012690
58	1	0.050460
59	1	0.027875
60	1	0.007556
61	1	0.058315
62	1	0.037078
63	1	0.034197
64	1	0.049141
65	1	0.074626
66	1	0.017126
67	1	0.016272
68	1	0.061527
69	1	0.028951
70	1	0.007158
71	1	0.004012
72	1	0.002631
73	1	0.064857
74	1	0.061011
75	1	0.036457
76	1	0.036356
77	1	0.047234
78	1	0.044491
79	1	0.011839
80	1	0.056450
81	1	0.049723
82	1	0.034972
83	1	0.030059
84	1	0.008728
85	1	0.058886
86	1	0.036062
87	1	0.076294
88	1	0.004619
89	1	0.027881
90	1	0.041204
91	1	0.053980
92	1	0.018088
93	1	0.086502
94	1	0.014419
95	1	0.019735
96	1	0.047091
97	1	0.026778
98	1	0.005566
99	1	0.005495
100	1	0.025524
101	1	0.016722
102	1	0.007225
103	1	0.012252
104	1	0.025628
105	1	0.041076
106	1	0.039346
107	1	0.021692
108	1	0.005682
109	1	0.101440
110	1	0.039177
111	1	0.050880
112	1	0.007284
113	1	0.057116
114	1	0.056109
115	1	0.004422
116	1	0.042435
117	1	0.048082
118	1	0.019223
119	1	0.029969
120	1	0.058951
121	1	0.026724
122	1	0.047235
123	1	0.034607
124	1	0.074264
125	1	0.004469
126	1	0.005686
127	1	0.025488
128	1	0.022056
129	1	0.005775
130	1	0.061233
131	1	0.006695
132	1	0.027173
133	1	0.005523
134	1	0.021479
135	1	0.022448
136	1	0.054659
137	1	0.028999
138	1	0.012223
139	1	0.005696
140	1	0.033867
141	1	0.017252
142	1	0.055151
143	1	0.031155
144	1	0.041948
145	1	0.093025
146	1	0.069110
147	1	0.007067
148	1	0.038950
149	1	0.005315
150	1	0.049973
151	1	0.062178
152	1	0.091651
153	1	0.011883
154	1	0.061026
155	1	0.005048
156	1	0.060154
157	1	0.005773
158	1	0.037926
159	1	0.006020
160	1	0.005411
161	1	0.069810
162	1	0.005292
163	1	0.021995
164	1	0.046449
165	1	0.003802
166	1	0.030114
167	1	0.010275
168	1	0.028004
169	1	0.061205
170	1	0.058558
171	1	0.033189
172	1	0.051697
173	1	0.014928
174	1	0.014847
175	1	0.032825
176	1	0.017928
177	1	0.044442
178	1	0.002428
179	1	0.020810
