节点	端口	平均利用率
66	1	0.072984
67	1	0.259387
68	1	0.232010
69	1	0.016968
70	1	0.030583
71	1	0.016682
72	1	0.176217
73	1	0.258219
74	1	0.205251
75	1	0.076517
76	1	0.021390
77	1	0.196023
78	1	0.113263
79	1	0.256062
80	1	0.108935
81	1	0.087216
82	1	0.150303
83	1	0.188866
84	1	0.256228
85	1	0.250991
86	1	0.031342
87	1	0.121183
88	1	0.130273
89	1	0.184641
90	1	0.132553
91	1	0.290534
92	1	0.125240
93	1	0.134484
94	1	0.106061
95	1	0.114262
96	1	0.102519
97	1	0.027296
98	1	0.122458
99	1	0.058301
100	1	0.085545
101	1	0.056088
102	1	0.109348
103	1	0.173890
104	1	0.166317
105	1	0.095201
106	1	0.066766
107	1	0.434857
108	1	0.232503
109	1	0.129716
110	1	0.125326
111	1	0.141825
112	1	0.234367
113	1	0.041817
114	1	0.257156
115	1	0.152191
116	1	0.073263
117	1	0.234957
118	1	0.165688
119	1	0.167283
120	1	0.246584
121	1	0.246487
122	1	0.125585
123	1	0.024282
124	1	0.022858
125	1	0.186704
126	1	0.013999
127	1	0.325347
128	1	0.027177
129	1	0.115718
130	1	0.026866
131	1	0.090481
132	1	0.302826
133	1	0.130209
134	1	0.106768
135	1	0.063019
136	1	0.111116
137	1	0.120752
138	1	0.014167
139	1	0.202233
140	1	0.121804
141	1	0.256946
142	1	0.343592
143	1	0.169691
144	1	0.173329
145	1	0.016419
146	1	0.023905
147	1	0.260485
148	1	0.298334
149	1	0.113390
150	1	0.080988
151	1	0.234379
152	1	0.152209
153	1	0.122888
154	1	0.138402
155	1	0.018804
156	1	0.028863
157	1	0.288812
158	1	0.033464
159	1	0.093485
160	1	0.201460
161	1	0.026729
162	1	0.130727
163	1	0.046500
164	1	0.116309
165	1	0.355630
166	1	0.161984
167	1	0.131761
168	1	0.213632
169	1	0.027289
170	1	0.052256
171	1	0.188275
172	1	0.037647
173	1	0.210923
174	1	0.097051
175	1	0.117023
176	1	0.071486
177	1	0.072512
178	1	0.073862
179	1	0.382933
