节点	端口	平均利用率
0	1	0.046882
0	2	0.082058
0	3	0.063837
0	4	0.073072
0	5	0.076748
0	6	0.049225
0	7	0.048815
0	8	0.092328
0	9	0.077088
1	1	0.060866
1	2	0.072264
1	3	0.091798
1	4	0.068881
1	5	0.087690
1	6	0.033378
1	7	0.019833
1	8	0.051047
1	9	0.036451
2	1	0.067044
2	2	0.136604
2	3	0.171161
2	4	0.053465
2	5	0.026941
2	6	0.025406
2	7	0.007423
2	8	0.038579
2	9	0.019797
3	1	0.066168
3	2	0.019694
3	3	0.015705
3	4	0.044199
3	5	0.022104
3	6	0.040824
3	7	0.047701
3	8	0.088063
3	9	0.022109
4	1	0.037186
4	2	0.174160
4	3	0.088454
4	4	0.140348
4	5	0.037133
4	6	0.041388
4	7	0.006591
4	8	0.015849
4	9	0.037787
5	1	0.065994
5	2	0.052905
5	3	0.011988
5	4	0.112488
5	5	0.051522
5	6	0.012287
5	7	0.039239
5	8	0.006178
5	9	0.079662
6	1	0.121890
6	2	0.100519
6	3	0.049102
6	4	0.041407
6	5	0.077438
6	6	0.004076
6	7	0.056422
6	8	0.073115
6	9	0.074982
7	1	0.035911
7	2	0.098812
7	3	0.068889
7	4	0.042463
7	5	0.058613
7	6	0.057442
7	7	0.042361
7	8	0.005597
7	9	0.047286
8	1	0.066034
8	2	0.071132
8	3	0.073606
8	4	0.009204
8	5	0.053388
8	6	0.029341
8	7	0.005801
8	8	0.097038
8	9	0.004480
9	1	0.118073
9	2	0.078172
9	3	0.079153
9	4	0.005955
9	5	0.039619
9	6	0.003963
9	7	0.007018
9	8	0.018437
9	9	0.033342
10	1	0.073737
10	2	0.056893
10	3	0.071916
10	4	0.006878
10	5	0.083681
10	6	0.071822
10	7	0.010463
10	8	0.017766
10	9	0.003733
11	1	0.142440
11	2	0.111776
11	3	0.032980
11	4	0.035347
11	5	0.062344
11	6	0.046686
11	7	0.008400
11	8	0.032152
11	9	0.008508
12	1	0.073101
12	2	0.018859
12	3	0.075069
12	4	0.054520
12	5	0.100127
12	6	0.005321
12	7	0.121931
12	8	0.025733
12	9	0.055942
13	1	0.089255
13	2	0.073721
13	3	0.073854
13	4	0.061295
13	5	0.034306
13	6	0.028331
13	7	0.005119
13	8	0.061519
13	9	0.070204
14	1	0.152317
14	2	0.099314
14	3	0.066413
14	4	0.036397
14	5	0.079726
14	6	0.003968
14	7	0.024823
14	8	0.004464
14	9	0.014060
15	1	0.095261
15	2	0.078958
15	3	0.085784
15	4	0.088226
15	5	0.049914
15	6	0.035235
15	7	0.065397
15	8	0.024803
15	9	0.023550
16	1	0.014698
16	2	0.089314
16	3	0.027332
16	4	0.021345
16	5	0.055574
16	6	0.012554
16	7	0.085077
16	8	0.059654
16	9	0.005928
17	1	0.078735
17	2	0.093736
17	3	0.078785
17	4	0.050741
17	5	0.067612
17	6	0.057043
17	7	0.036383
17	8	0.006574
17	9	0.021883
18	1	0.111730
