节点	端口	平均利用率
66	1	0.019417
67	1	0.068737
68	1	0.061765
69	1	0.004525
70	1	0.008149
71	1	0.004507
72	1	0.046944
73	1	0.068713
74	1	0.054687
75	1	0.020441
76	1	0.005627
77	1	0.052110
78	1	0.030306
79	1	0.067972
80	1	0.029000
81	1	0.023093
82	1	0.039863
83	1	0.050228
84	1	0.068048
85	1	0.066913
86	1	0.008356
87	1	0.032393
88	1	0.034750
89	1	0.048903
90	1	0.035110
91	1	0.077405
92	1	0.033339
93	1	0.035847
94	1	0.028399
95	1	0.030446
96	1	0.027271
97	1	0.007254
98	1	0.032557
99	1	0.015536
100	1	0.022651
101	1	0.015259
102	1	0.029067
103	1	0.046264
104	1	0.044449
105	1	0.025258
106	1	0.017731
107	1	0.115391
108	1	0.062126
109	1	0.034544
110	1	0.033336
111	1	0.037949
112	1	0.062058
113	1	0.011166
114	1	0.068173
115	1	0.040663
116	1	0.019499
117	1	0.062303
118	1	0.044129
119	1	0.044374
120	1	0.065534
121	1	0.065561
122	1	0.033401
123	1	0.006510
124	1	0.006023
125	1	0.049759
126	1	0.003726
127	1	0.086258
128	1	0.007203
129	1	0.030897
130	1	0.007156
131	1	0.024494
132	1	0.080468
133	1	0.034620
134	1	0.028314
135	1	0.016733
136	1	0.029657
137	1	0.032029
138	1	0.003777
139	1	0.053990
140	1	0.032536
141	1	0.068396
142	1	0.091158
143	1	0.045223
144	1	0.046052
145	1	0.004362
146	1	0.006382
147	1	0.069186
148	1	0.079014
149	1	0.030153
150	1	0.021517
151	1	0.062252
152	1	0.040510
153	1	0.032888
154	1	0.036786
155	1	0.005042
156	1	0.007682
157	1	0.076870
158	1	0.008898
159	1	0.024703
160	1	0.053678
161	1	0.007090
162	1	0.034778
163	1	0.012318
164	1	0.031038
165	1	0.094414
166	1	0.043091
167	1	0.035130
168	1	0.056713
169	1	0.007255
170	1	0.013982
171	1	0.050017
172	1	0.009988
173	1	0.055935
174	1	0.025804
175	1	0.031160
176	1	0.019124
177	1	0.019300
178	1	0.019794
179	1	0.101410
