节点	端口	平均利用率
0	1	0.145963
0	2	0.247805
0	3	0.193932
0	4	0.330405
0	5	0.276250
0	6	0.176919
0	7	0.175076
0	8	0.331854
0	9	0.276581
1	1	0.164659
1	2	0.447304
1	3	0.265209
1	4	0.091526
1	5	0.370909
1	6	0.119564
1	7	0.070166
1	8	0.183527
1	9	0.131439
2	1	0.170025
2	2	0.455591
2	3	0.669285
2	4	0.150822
2	5	0.097845
2	6	0.091325
2	7	0.026572
2	8	0.138119
2	9	0.070525
3	1	0.201308
3	2	0.030980
3	3	0.052388
3	4	0.165394
3	5	0.078001
3	6	0.146876
3	7	0.171534
3	8	0.316431
3	9	0.079370
4	1	0.056762
4	2	0.548626
4	3	0.274807
4	4	0.618056
4	5	0.152980
4	6	0.148659
4	7	0.023644
4	8	0.057193
4	9	0.135835
5	1	0.285782
5	2	0.226636
5	3	0.064839
5	4	0.330755
5	5	0.185929
5	6	0.043725
5	7	0.140735
5	8	0.022065
5	9	0.286846
6	1	0.317269
6	2	0.511457
6	3	0.146870
6	4	0.251328
6	5	0.193611
6	6	0.014846
6	7	0.202959
6	8	0.263014
6	9	0.269551
7	1	0.128921
7	2	0.342192
7	3	0.230403
7	4	0.103727
7	5	0.246535
7	6	0.207152
7	7	0.152773
7	8	0.020050
7	9	0.170353
8	1	0.278797
8	2	0.151843
8	3	0.223753
8	4	0.032698
8	5	0.359019
8	6	0.105674
8	7	0.020313
8	8	0.348960
8	9	0.016110
9	1	0.345592
9	2	0.463531
9	3	0.186466
9	4	0.018710
9	5	0.185185
9	6	0.014262
9	7	0.025043
9	8	0.066159
9	9	0.120145
10	1	0.298583
10	2	0.234366
10	3	0.188574
10	4	0.023233
10	5	0.176489
10	6	0.258536
10	7	0.037638
10	8	0.063935
10	9	0.013180
11	1	0.492638
11	2	0.328952
11	3	0.200043
11	4	0.132492
11	5	0.191948
11	6	0.167773
11	7	0.030404
11	8	0.115621
11	9	0.030483
12	1	0.054200
12	2	0.228956
12	3	0.085446
12	4	0.195765
12	5	0.378351
12	6	0.019081
12	7	0.439026
12	8	0.092149
12	9	0.201880
13	1	0.388780
13	2	0.209294
13	3	0.165539
13	4	0.368580
13	5	0.221666
13	6	0.101708
13	7	0.018447
13	8	0.221806
13	9	0.252853
14	1	0.626539
14	2	0.370091
14	3	0.240481
14	4	0.234561
14	5	0.286849
14	6	0.014216
14	7	0.089476
14	8	0.015856
14	9	0.050479
15	1	0.373134
15	2	0.345138
15	3	0.386045
15	4	0.226876
15	5	0.180040
15	6	0.126848
15	7	0.234626
15	8	0.089101
15	9	0.084253
16	1	0.024414
16	2	0.327779
16	3	0.191327
16	4	0.114572
16	5	0.204370
16	6	0.045129
16	7	0.305803
16	8	0.214644
16	9	0.021142
17	1	0.325862
17	2	0.325475
17	3	0.286590
17	4	0.233687
17	5	0.241897
17	6	0.205329
17	7	0.131118
17	8	0.023708
17	9	0.077839
18	1	0.361325
18	2	0.289709
18	3	0.377767
18	4	0.105967
18	5	0.349414
18	6	0.142658
18	7	0.100608
18	8	0.282874
18	9	0.022742
19	1	0.223579
19	2	0.113838
19	3	0.105671
19	4	0.265988
19	5	0.182807
19	6	0.222952
19	7	0.054576
19	8	0.269249
19	9	0.049965
20	1	0.152512
20	2	0.396789
20	3	0.367992
20	4	0.261361
20	5	0.038613
20	6	0.088552
20	7	0.204527
20	8	0.151592
20	9	0.082988
21	1	0.358018
21	2	0.394522
21	3	0.153799
21	4	0.039730
21	5	0.176580
21	6	0.246329
21	7	0.110838
21	8	0.132486
21	9	0.105403
22	1	0.226904
22	2	0.344793
22	3	0.234935
22	4	0.309715
22	5	0.096564
22	6	0.030684
22	7	0.012271
22	8	0.175290
22	9	0.017988
23	1	0.090270
23	2	0.198991
23	3	0.127290
23	4	0.037966
23	5	0.150917
23	6	0.018012
23	7	0.195493
23	8	0.029672
23	9	0.088346
24	1	0.121812
24	2	0.129126
24	3	0.144679
24	4	0.031627
24	5	0.041732
24	6	0.100284
24	7	0.143835
24	8	0.080675
24	9	0.099698
25	1	0.485554
25	2	0.152656
25	3	0.116805
25	4	0.147812
25	5	0.204135
25	6	0.075701
25	7	0.550272
25	8	0.154842
25	9	0.098180
26	1	0.058665
26	2	0.532103
26	3	0.105266
26	4	0.441869
26	5	0.202828
26	6	0.129553
26	7	0.017204
26	8	0.074706
26	9	0.288496
27	1	0.238879
27	2	0.293068
27	3	0.087401
27	4	0.232961
27	5	0.287765
27	6	0.132288
27	7	0.149887
27	8	0.098032
27	9	0.231530
28	1	0.113823
28	2	0.220620
28	3	0.163574
28	4	0.240743
28	5	0.125270
28	6	0.098861
28	7	0.014735
28	8	0.201821
28	9	0.086496
29	1	0.288249
29	2	0.319527
29	3	0.091585
29	4	0.425170
29	5	0.530552
29	6	0.034702
29	7	0.120286
29	8	0.129541
29	9	0.099410
30	1	0.373247
30	2	0.420300
30	3	0.159639
30	4	0.045857
30	5	0.099257
30	6	0.029373
30	7	0.187664
30	8	0.217196
30	9	0.238829
31	1	0.392502
31	2	0.028902
31	3	0.167948
31	4	0.359902
31	5	0.142147
31	6	0.100567
31	7	0.245749
31	8	0.106614
31	9	0.130141
32	1	0.030524
32	2	0.313401
32	3	0.079794
32	4	0.235002
32	5	0.118594
32	6	0.112907
32	7	0.016340
32	8	0.065852
32	9	0.204247
33	1	0.189893
33	2	0.483291
33	3	0.046935
33	4	0.309135
33	5	0.234290
33	6	0.136377
33	7	0.221071
33	8	0.123201
33	9	0.141411
34	1	0.372165
34	2	0.179907
34	3	0.235160
34	4	0.182634
34	5	0.150474
34	6	0.199723
34	7	0.138955
34	8	0.194620
34	9	0.161248
35	1	0.257547
35	2	0.037368
35	3	0.167187
35	4	0.314565
35	5	0.104755
35	6	0.145687
35	7	0.124962
35	8	0.014337
35	9	0.018237
36	1	0.286907
37	1	0.017530
38	1	0.133450
39	1	0.106830
40	1	0.166407
41	1	0.046069
42	1	0.108929
43	1	0.022568
44	1	0.233563
45	1	0.180734
46	1	0.048679
47	1	0.064886
48	1	0.069525
49	1	0.064915
50	1	0.155662
51	1	0.063605
52	1	0.107816
53	1	0.146654
54	1	0.292953
55	1	0.325648
56	1	0.087977
57	1	0.049268
58	1	0.195115
59	1	0.108661
60	1	0.029200
61	1	0.226962
62	1	0.144521
63	1	0.133060
64	1	0.191093
65	1	0.290413
66	1	0.066065
67	1	0.063333
68	1	0.239199
69	1	0.111022
70	1	0.027703
71	1	0.015654
72	1	0.010514
73	1	0.253082
74	1	0.236838
75	1	0.141871
76	1	0.141332
77	1	0.182520
78	1	0.172768
79	1	0.045337
80	1	0.219316
81	1	0.192913
82	1	0.136190
83	1	0.117469
84	1	0.033570
85	1	0.229714
86	1	0.139027
87	1	0.296648
88	1	0.017856
89	1	0.108297
90	1	0.159866
91	1	0.210095
92	1	0.070289
93	1	0.336385
94	1	0.055337
95	1	0.076417
96	1	0.183577
97	1	0.104441
98	1	0.021345
99	1	0.021371
100	1	0.099591
101	1	0.065041
102	1	0.028152
103	1	0.047648
104	1	0.099727
105	1	0.159746
106	1	0.152847
107	1	0.084265
108	1	0.022398
109	1	0.395457
110	1	0.152915
111	1	0.197583
112	1	0.028219
113	1	0.221988
114	1	0.219111
115	1	0.017272
116	1	0.164868
117	1	0.187828
118	1	0.075036
119	1	0.116406
120	1	0.229721
121	1	0.103712
122	1	0.183347
123	1	0.135069
124	1	0.288495
125	1	0.017368
126	1	0.021758
127	1	0.098452
128	1	0.085102
129	1	0.022532
130	1	0.238318
131	1	0.026056
132	1	0.105711
133	1	0.021372
134	1	0.083089
135	1	0.087537
136	1	0.212031
137	1	0.112877
138	1	0.048202
139	1	0.022223
140	1	0.131743
141	1	0.065543
142	1	0.214237
143	1	0.121384
144	1	0.163035
145	1	0.362113
146	1	0.269603
147	1	0.027424
148	1	0.151129
149	1	0.021054
150	1	0.195197
151	1	0.241670
152	1	0.356523
153	1	0.046037
154	1	0.237041
155	1	0.019689
156	1	0.233685
157	1	0.022420
158	1	0.147524
159	1	0.023324
160	1	0.020991
161	1	0.272415
162	1	0.020544
163	1	0.085453
