NodeID	PortID	AverageQueueLength	SampleCount
0	1	28452.306587	61056
0	2	181246.830221	61056
0	3	4587.360915	61056
0	4	18045.030185	61056
0	5	2569.051035	61056
0	6	186.398230	61005
0	7	29.273159	61056
0	8	17.977922	61056
0	9	295.107172	61005
1	1	110295.858474	61056
1	2	15640.089131	61056
1	3	17605.940022	61056
1	4	85586.310354	61056
1	5	19026.434519	61056
1	6	60.536278	61056
1	7	41003.930162	61056
1	8	14.219294	61005
1	9	132.923042	60955
2	1	140872.734391	61056
2	2	108238.754520	61056
2	3	3776.387169	61056
2	4	4963.994857	61056
2	5	8172.543517	61056
2	6	2013.458088	61056
2	7	816.982279	61056
2	8	77.373183	61005
2	9	32.481001	61056
3	1	176663.619186	61056
3	2	111532.767689	61056
3	3	9111.644638	61056
3	4	18417.088493	61056
3	5	9015.009319	61056
3	6	909.713089	61005
3	7	64.683143	61056
3	8	101.231984	61056
3	9	33.215507	61056
4	1	274830.956892	61056
4	2	189431.876507	61056
4	3	20066.790193	61056
4	4	9021.374165	61056
4	5	5267.241663	61056
4	6	395.805474	61056
4	7	97.940972	61056
4	8	6634.296547	61056
4	9	15.742464	61005
5	1	100806.513168	61056
5	2	296023.469176	61056
5	3	44113.275387	61056
5	4	2101.822049	61056
5	5	5417.604429	61056
5	6	41.841785	61056
5	7	59.840278	61056
5	8	813.478659	61056
5	9	53.896664	61005
6	1	258009.867204	61056
6	2	345935.951667	61056
6	3	59219.802182	61056
6	4	7122.646570	61056
6	5	3714.746004	61056
6	6	11.082387	61005
6	7	12.817583	60855
6	8	84.147275	61056
6	9	7.335268	61005
7	1	260592.711036	61056
7	2	223997.462690	61056
7	3	116620.429327	61056
7	4	30180.524977	61056
7	5	16777.333628	61056
7	6	17.325917	60905
7	7	10.101205	61005
7	8	433.014036	61056
7	9	153.838525	61056
8	1	99562.121298	61056
8	2	4033.991336	61056
8	3	483.478544	61056
8	4	3320.576618	61056
8	5	17778.014413	61056
8	6	77.043599	61056
8	7	64.865599	61056
8	8	52.190804	61005
8	9	22.464716	61005
9	1	149653.369235	61056
9	2	67094.529530	61056
9	3	45186.750852	61056
9	4	47431.596878	61056
9	5	128991.529399	61056
9	6	311.292305	61056
9	7	33.370218	61056
9	8	41.439308	61005
9	9	15.242138	61056
10	1	187125.100088	61056
10	2	96823.549053	61056
10	3	6811.248755	61056
10	4	2569.009516	61056
10	5	87383.411491	61056
10	6	57.559798	61056
10	7	1511.777516	61056
10	8	34.293370	61056
10	9	2623.246888	61056
11	1	70204.856263	61056
11	2	20851.218373	61056
11	3	1830.812795	61056
11	4	2444.849925	61056
11	5	5945.002571	61056
11	6	743.194805	61056
11	7	932.117499	61056
11	8	68.631011	61056
11	9	284.321262	61056
12	1	19799.223500	61056
12	2	189061.086887	61056
12	3	6280.904137	61056
12	4	15667.266002	61056
12	5	23491.455303	61056
12	6	115.080303	61056
12	7	53.920450	60905
12	8	183.970765	61056
12	9	80.321082	61056
13	1	84271.459169	61056
13	2	245117.625426	61056
13	3	45253.058930	61056
13	4	23820.920352	61056
13	5	40567.913178	61056
13	6	16.628243	61056
13	7	120.145414	61005
13	8	854.512071	61056
13	9	27.261077	61005
14	1	134211.344454	61056
14	2	144892.315055	61056
14	3	10313.616549	61056
14	4	4223.135220	61056
14	5	17915.435666	61056
14	6	17.301238	61005
14	7	152.204147	61005
14	8	11.125491	61056
14	9	176.737497	61005
15	1	51111.768327	61056
15	2	197743.375786	61056
15	3	6454.459857	61056
15	4	2471.515412	61056
15	5	1710.663997	61056
15	6	5.003800	61056
15	7	72.950512	61005
15	8	2289.869579	61056
15	9	444.998575	61056
16	1	231668.189040	61056
16	2	174989.518262	61056
16	3	3719.459005	61056
16	4	2939.645276	61056
16	5	7741.081876	61056
16	6	1140.400010	61056
16	7	27.058373	61056
16	8	405.022324	61056
16	9	70.729363	61056
17	1	328245.737405	61056
17	2	229398.012022	61056
17	3	51517.609113	61056
17	4	7792.317332	61056
17	5	31709.486422	61056
17	6	14.322163	61056
17	7	15.860063	61056
17	8	62.475154	61056
17	9	171.807521	61056
18	1	225025.822966	61056
18	2	108307.766755	61056
18	3	40710.305900	61056
18	4	9273.669942	61056
18	5	22143.782069	61056
18	6	42.027237	61056
18	7	43.050937	61056
18	8	191.315448	61056
18	9	4.294730	61005
19	1	292803.394867	61056
19	2	206884.260875	61056
19	3	125991.083956	61056
19	4	13387.113306	61056
19	5	11363.632092	61056
19	6	149.581564	61056
19	7	246.065923	61056
19	8	219.925859	61005
19	9	4.947529	61005
20	1	93735.828698	61056
20	2	195742.682275	61056
20	3	39267.792764	61056
20	4	3832.009598	61056
20	5	29256.928361	61056
20	6	60.850793	61056
20	7	94.732360	61056
20	8	154.118268	61056
20	9	550.793436	61056
21	1	118330.446639	61056
21	2	101466.484883	61056
21	3	29231.408248	61056
21	4	3101.570542	61056
21	5	2434.084545	61056
21	6	192.114396	60955
21	7	120.653793	61056
21	8	2267.266913	61005
21	9	156.513810	61005
22	1	31322.401680	61056
22	2	109617.513889	61056
22	3	9659.916224	61056
22	4	23253.586429	61056
22	5	3539.253145	61056
22	6	26.018996	60855
22	7	45.765003	61056
22	8	6.103341	60905
22	9	1205.127833	61056
23	1	92842.338951	61056
23	2	19215.928475	61056
23	3	1351.551657	61056
